id;domanda;risposta_corretta;risposta_errata_1;risposta_errata_2
0025;L’esecutorietà del provvedimento amministrativo:;Consiste nel potere, in capo all’amministrazione, di attuare coattivamente la determinazione provvedimentale.;È l’attitudine dell’atto a produrre effetti giuridici.;Rappresenta la possibilità legale e giuridica che gli effetti del provvedimento possono prodursi.
0026;L’esecutorietà del provvedimento amministrativo:;Rappresenta un carattere eccezionale del provvedimento, in quanto il potere di imporre coattivamente l’adempimento è limitato ai soli casi previsti dalla legge.;Rappresenta la possibilità legale e giuridica che gli effetti del provvedimento possono prodursi.;È l’attitudine dell’atto a produrre effetti giuridici.
0027;Secondo la dottrina prevalente quali solo i caratteri propri del provvedimento amministrativo oltre all’unilateralità?;"Tipicità e nominatività; imperatività o autoritarietà; inoppugnabilità; efficacia edesecutività.";"Legalità; tipicità e nominatività; pubblicità e trasparenza; inoppugnabilità; esecutività.";"Tipicità e nominatività; buona amministrazione; inoppugnabilità; proporzionalità."
0028;Secondo la dottrina prevalente quali solo i caratteri propri del provvedimento amministrativo oltre alla tipicità e nominatività?;"Unilateralità; imperatività o autoritarietà; inoppugnabilità;efficacia ed esecutività.";"Legalità; pubblicità e trasparenza; inoppugnabilità;esecutività.";"Unilateralità; buona amministrazione; inoppugnabilità;proporzionalità."
0029;Secondo la dottrina prevalente quali solo i caratteri propri del provvedimento amministrativo oltre all’imperatività o autoritarietà?;"Unilateralità; tipicità e nominatività; inoppugnabilità; efficacia ed esecutività.";"Legalità; tipicità e nominatività; pubblicità e trasparenza; inoppugnabilità; esecutività.";"Unilateralità; tipicità e nominatività; buona amministrazione; inoppugnabilità;proporzionalità."
0030;Secondo la dottrina prevalente quali solo i caratteri propri del provvedimento amministrativo oltre all’inoppugnabilità?;"Unilateralità; tipicità e nominatività; imperatività o autoritarietà; efficacia edesecutività.";"Legalità; tipicità e nominatività; pubblicità e trasparenza; esecutività.";"Unilateralità; tipicità e nominatività; buona amministrazione; proporzionalità."
0031;Secondo la dottrina prevalente quali solo i caratteri propri del provvedimento amministrativo oltre all’efficacia ed esecutività?;"Unilateralità; tipicità e nominatività; imperatività o autoritarietà; inoppugnabilità.";"Legalità; tipicità e nominatività; pubblicità e trasparenza; inoppugnabilità; esecutività.";"Unilateralità; tipicità e nominatività; buona amministrazione; inoppugnabilità;proporzionalità."
0032;"I provvedimenti amministrativi sono dotati, tra l’altro, del carattere della ""imperatività o autoritarietà"" ovvero:";La capacità del provvedimento di produrre effetti giuridici in capo a terzi senza che sia necessario il consenso o la collaborazione delle stessi.;L’idoneità a produrre effetti in modo automatico ed immediato una volta divenuto efficacie, indipendentemente dal fatto che lo stesso sia valido o invalido.;Che i provvedimenti debbano essere previsti dalla legge che ne deve individuare funzione e contenuto.
0033;"I provvedimenti amministrativi sono dotati, tra l’altro, del carattere della ""esecutività"" ovvero:";L’idoneità a produrre effetti in modo automatico ed immediato una volta divenuto efficacie, indipendentemente dal fatto che lo stesso sia valido o invalido.;L’attitudine ad essere portati ad esecuzione coattivamente anche contro la volontà del destinatario e senza necessità di ottenere preventivamente una conforme pronuncia giurisdizionale.;Che ogni provvedimento deve rispondere ad una causa tipica della norma che ne definisce il contenuto.
0034;"I provvedimenti amministrativi sono dotati, tra l’altro, del carattere della ""esecutorietà"" ovvero:";L’attitudine ad essere portati ad esecuzione coattivamente anche contro la volontà del destinatario e senza necessità di ottenere preventivamente una conforme pronuncia giurisdizionale.;Che comporta che la legge definisca finalità ed effetti del provvedimento.;Che ad ogni interesse pubblico corrisponde un certo tipo di atto definito e disciplinato dalla legge.
0035;"I provvedimenti amministrativi sono dotati, tra l’altro, del carattere della ""inoppugnabilità"" ovvero:";L’impossibilità per i destinatari di ricorrere contro il provvedimento una volta decorsi i termini decadenziali.;La capacità del provvedimento di produrre effetti giuridici in capo a terzi senza che sia necessario il consenso o la collaborazione delle stessi.;Che impone che la legge individui gli schemi provvedimentali da utilizzare per il perseguimento delle singole finalità di interesse pubblico e per la produzione delle singole tipologie di effetti giuridici.
0036;"I provvedimenti amministrativi sono dotati, tra l’altro, del carattere della ""tipicità"" ovvero:";Che i provvedimenti debbano essere previsti dalla legge che ne deve individuare funzione e contenuto.;La capacità del provvedimento di produrre effetti giuridici in capo a terzi senza che sia necessario il consenso o la collaborazione delle stessi.;L’attitudine ad essere portati ad esecuzione coattivamente anche contro la volontà del destinatario e senza necessità di ottenere preventivamente una conformepronuncia giurisdizionale.
0037;"I provvedimenti amministrativi sono dotati, tra l’altro, del carattere della ""tipicità"" ovvero:";Che ogni provvedimento deve rispondere ad una causa tipica prevista dalla norma che ne definisce il contenuto.;L’impossibilità per i destinatari di ricorrere contro il provvedimento una volta decorsi i termini decadenziali.;La capacità del provvedimento di produrre effetti giuridici in capo a terzi senza che sia necessario il consenso o la collaborazione dellestessi.
0038;"I provvedimenti amministrativi sono dotati, tra l’altro, del carattere della ""tipicità"":";Che comporta che la legge definisca finalità ed effetti del provvedimento.;L’idoneità a produrre effetti in modo automatico ed immediato una volta divenuto efficacie, indipendentemente dal fatto che lo stesso sia valido o invalido.;L’impossibilità per i destinatari di ricorrere contro il provvedimento una volta decorsi i termini decadenziali.
0039;"I provvedimenti amministrativi sono dotati, tra l’altro, del carattere della ""nominatività"" ovvero:";Che ad ogni interesse pubblico corrisponde un certo tipo di atto definito e disciplinato dalla legge.;L’attitudine ad essere portati ad esecuzione coattivamente anche contro la volontà del destinatario e senza necessità di ottenere preventivamente una conforme pronuncia giurisdizionale.;L’impossibilità per i destinatari di ricorrere contro il provvedimento una volta decorsi i termini decadenziali.
0040;"I provvedimenti amministrativi sono dotati, tra l’altro, del carattere della ""nominatività"":";Che impone che la legge individui gli schemi provvedimentali da utilizzare per il perseguimento delle singole finalità di interesse pubblico e per la produzione delle singole tipologie di effetti giuridici.;La capacità del provvedimento di produrre effetti giuridici in capo a terzi senza che sia necessario il consenso o la collaborazione delle stessi.;L’idoneità a produrre effetti in modo automatico ed immediato una volta divenuto efficacie, indipendentemente dal fatto che lo stesso sia valido o invalido.
0041;Quale carattere consiste nella capacità del provvedimento amministrativo di produrre effetti giuridici in capo a terzi senza chesia necessario il consenso o la collaborazione delle stessi?;Imperatività o autoritarietà.;Tipicità.;Nominatività.
0042;Quale carattere del provvedimento amministrativo si sostanzia nell’idoneità a produrre effetti in modo automatico ed immediato una volta divenuto efficacie, indipendentemente dal fatto che lo stesso siavalido o invalido?;Esecutività.;Imperatività o autoritarietà.;Inoppugnabilità.
0043;Quale carattere del provvedimento amministrativo si sostanzia nell’attitudine ad essere portato ad esecuzione coattivamente anche contro la volontà del destinatario e senza necessità di ottenere preventivamente una conforme pronuncia giurisdizionale?;Esecutorietà.;Imperatività o autoritarietà.;Nominatività.
0044;Quale carattere del provvedimento amministrativo si sostanzia nell’impossibilità per i destinatari di ricorrere contro ilprovvedimento una volta decorsi i termini decadenziali?;Inoppugnabilità.;Esecutività.;Esecutorietà.
0045;Quale carattere del provvedimento amministrativo implica che i provvedimenti debbano essere previsti dalla legge che ne deveindividuare funzione e contenuto?;Tipicità.;Imperatività o autoritarietà.;Esecutività.
0046;Quale carattere del provvedimento amministrativo implica che ogni provvedimento deve rispondere ad una causa tipica della norma chene definisce il contenuto?;Tipicità.;Esecutorietà.;Inoppugnabilità.
0047;Quale carattere del provvedimento amministrativo comporta che lalegge definisca finalità ed effetti del provvedimento?;Tipicità.;Imperatività o autoritarietà.;Esecutività.
0048;Quale carattere del provvedimento amministrativo implica che ad ogni interesse pubblico corrisponde un certo tipo di atto definito edisciplinato dalla legge?;Nominatività.;Esecutività.;Esecutorietà.
0049;Quale carattere del provvedimento amministrativo impone che la legge individui gli schemi provvedimentali da utilizzare per il perseguimento delle singole finalità di interesse pubblico e per laproduzione delle singole tipologie di effetti giuridici?;Nominatività.;Inoppugnabilità.;Imperatività o autoritarietà.
0050;I provvedimenti amministrativi possono essere solo quelli previsti dall'ordinamento con riferimento sia al contenuto che alla funzione che lo stesso è destinato a realizzare. Vale a dire che sono dotati delcarattere:;Della tipicità.;Dell'autoritarietà.;Dell'inoppugnabilità.
0051;I provvedimenti amministrativi non sono più suscettibili di annullamento o revoca su ricorso dell'interessato, decorsi i terminiperentori. Vale a dire che sono dotati del carattere:;Dell'inoppugnabilità.;Dell'esecutorietà.;Della tipicità.
0052;I provvedimenti amministrativi sono caratterizzati dalla forza giuridica consistente nell'imporre unilateralmente modificazioni nella sfera giuridica dei destinatari. Vale a dire che sono dotati delcarattere:;Dell'autoritarietà.;Dell'inoppugnabilità.;Della tipicità.
0053;Nei casi e con le modalità stabiliti dalla legge, provvedimenti amministrativi della pubblica amministrazione possono imporre coattivamente l'adempimento degli obblighi, vale a dire che sonodotati del carattere:;Dell'esecutorietà.;Della tipicità.;Dell'inoppugnabilità.
0054;L'imperatività del provvedimento amministrativo consiste:;Nella sua capacità di costituire, modificare o estinguere situazioni soggettive, a prescindere dal consenso di chi subisce tale conseguenza.;Nell'astratta capacità di produrre gli effetti che gli sono propri.;Nella sua capacità di essere portato ad esecuzione direttamente dalla pubblica amministrazione coi suoi mezzi, senza che essa sia tenuta a rivolgersi al giudice per ottenere il soddisfacimento delle proprie pretese.
0055;La nominatività del provvedimento amministrativo si sostanzia:;Nella riconducibilità dello stesso ad uno specifico schema legale.;Nella predeterminazione normativa dei suoi effetti.;Nel potere della pubblica amministrazione di realizzare le proprie pretese giuridiche fondate su un atto amministrativo.
0056;I provvedimenti amministrativi possono essere dotati del carattere dell'esecutorietà, vale a dire che:;Nei casi e con le modalità stabiliti dalla legge le pubbliche amministrazioni possono imporre coattivamente l'adempimento degli obblighi nei loro confronti.;Sono preordinati al conseguimento esclusivo dell'interesse definito dalla legge.;Possono essere solo quelli previsti dall'ordinamento per contenuto o funzione.
0057;I provvedimenti amministrativi sono dotati del carattere dell'inoppugnabilità, vale a dire:;Non sono più suscettibili di annullamento o revoca su ricorso dell'interessato, decorsi i terminiperentori.;Sono sempre imperativi ed esecutivi.;Sono preordinati al conseguimento esclusivo dell'interesse definito dalla legge.
0058;I provvedimenti amministrativi sono dotati del carattere della nominatività, vale a dire che:;A ciascun interesse pubblico particolare da realizzare è preordinato un tipo di atto perfettamente definito dalla legge.;Possono essere solo quelli previsti dall'ordinamento per contenuto o funzione.;Sono immediatamente e direttamente eseguibili, anche contro il volere del soggetto destinatario del provvedimento sfavorevole, senza previa pronunziagiurisdizionale.
0059;Gli elementi costitutivi del provvedimento amministrativo possono essere essenziali o accidentali. I primi:;Sono necessari giuridicamente per dar vita all'atto.;Si considerano sempre inseriti nel provvedimento anche se non vi compaiono espressamente.;Si sostanziano esclusivamente nell'agente e nel destinatario.
0060;Gli elementi essenziali del provvedimento amministrativo:;Sono necessari giuridicamente per dar vita all'atto.;Costituiscono clausole accessorie che incidono sugli effettidell'atto.;Possono o meno essere presenti in un atto.
0061;Gli elementi costitutivi del provvedimento amministrativo possono essere essenziali o accidentali. I primi:;Qualora mancanti comportano la nullità del provvedimento.;Si considerano sempre inseriti nel provvedimento anche se non vi compaiono espressamente.;Si sostanziano esclusivamente nell'agente e nell'oggetto.
0062;Gli elementi essenziali del provvedimento amministrativo:;Qualora mancanti comportano la nullità del provvedimento.;Costituiscono clausole accessorie che incidono sugli effettidell'atto.;Possono o meno essere presenti in un atto.
0063;Gli elementi costitutivi del provvedimento amministrativo possonoessere essenziali o accidentali. Quelli accidentali:;Possono o meno essere presentiin un atto.;Si sostanziano esclusivamentenel soggetto e nell'oggetto.;Se assenti comportano sempre lanullità dell'atto.
0064;Gli elementi accidentali sono apponibili ai provvedimenti amministrativi?;Si, sono apponibili termini, condizioni e riserve.;No, la legge sul procedimento amministrativo lo escludeespressamente.;Sono apponibili solo i termini.
0065;Gli elementi accidentali del provvedimento amministrativo:;Possono o meno essere presentiin un atto.;Sono necessari giuridicamenteper dar vita all'atto.;Se assenti comportano sempre lanullità dell'atto.
0066;La questione degli elementi costitutivi del provvedimento amministrativo, ha assunto un'importanza particolare a seguito del disposto di cui all'art. 21-septies della L. n.241/1990, che prevede la nullità del provvedimento finale in mancanza degli elementi essenziali. Quale tra i seguenti è un elemento essenziale?;Agente.;Termine.;Condizione.
0067;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, quale tra quelli indicati costituisce elemento essenziale per lo stesso?;Agente.;Onere.;Riserva.
0068;"Con riferimento agli elementi costitutivi del provvedimento amministrativo secondo la ""teoria negoziale"" (agente, destinatario, volontà, oggetto e forma), l'agente:";È l'autore del provvedimento.;Coincide sempre con il funzionario dello Stato o della pubblica amministrazione che pone in essere il provvedimento.;Costituisce l'insieme delle statuizioni contente nell'atto.
0069;Con riferimento agli elementi dell'atto amministrativo chi è il centro di imputazione giuridica che pone in essere il provvedimento?;Agente o soggetto.;Destinatario.;Oggetto.
0070;Con riferimento agli elementi dell'atto amministrativo l'autorità amministrativa che pone in essere il provvedimento corrisponde a:;Agente o soggetto.;Destinatario.;Oggetto.
0071;Con riferimento agli elementi dell'atto amministrativo l'autoritàamministrativa competente all'emanazione dell'atto è:;L'agente o il soggetto.;Il destinatario.;L'oggetto.
0072;Con riferimento agli elementi dell'atto amministrativo l'autore delprovvedimento corrisponde a:;Agente.;Destinatario.;Oggetto.
0073;L'agente o soggetto del provvedimento amministrativo:;È il centro di imputazione giuridica che pone in essere ilprovvedimento.;È l'interesse pubblico perseguito dall'amministrazione.;È un comportamento, un fatto o un bene sul quale si indirizza lavolontà dell'amministrazione.
0074;L'agente del provvedimento amministrativo:;Può essere un'autorità amministrativa, un privato esercente una pubblica funzione, ovvero un privato obbligato a svolgere un procedimento di evidenza pubblica.;Può essere solo un'autorità amministrativa ovvero un privato esercente una pubblica funzione.;Può essere solo un'autorità amministrativa ovvero un privato obbligato a svolgere un procedimento di evidenza pubblica.
0075;L'agente o soggetto del provvedimento amministrativo:;Può essere un'autorità amministrativa o un privato nell'esercizio di una pubblicafunzione.;È lo scopo che persegue l'atto.;È costituito dalle modalità con le quali la dichiarazione di volontà espressa dall'amministrazione èesternata e comunicata ai terzi.
0076;L'agente o soggetto del provvedimento amministrativo:;É l'autorità amministrativa che pone in essere il provvedimento.;Costituisce l'insieme delle statuizioni contenute nell'atto.;È il soggetto pubblico o privato, nei cui confronti un atto deve produrrei suoi effetti.
0077;"Con riferimento agli elementi costitutivi del provvedimento amministrativo secondo la ""teoria negoziale"" (agente, destinatario, volontà, oggetto e forma), l'agente:";Normalmente è l'autorità amministrativa che pone in essere il provvedimento.;Deve necessariamente essere un organo individuale dello Stato o della pubblica amministrazione.;Costituisce l'insieme delle statuizioni contente nell'atto.
0078;"Con riferimento agli elementi costitutivi del provvedimento amministrativo secondo la ""teoria negoziale"" (agente, destinatario, volontà, oggetto e forma), l'agente:";È l'autorità amministrativa competente all'emanazione dell'atto.;Non può in alcun caso essere un privato anche se investito dell'esercizio di una pubblicafunzione.;È l'interesse pubblico perseguito dall'amministrazione.
0079;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, l'agente costituisce:;Elemento necessario giuridicamente per dar vitaall'atto.;Componente accidentale che amplia o restringe il contenutodell'atto.;Requisito di efficacia necessario perché l'atto spieghi i suoi effetti.
0080;Quale delle seguenti affermazioni sul provvedimento amministrativo è corretta?;Il soggetto è elemento essenziale del provvedimentoamministrativo.;Il termine è elemento essenziale del provvedimentoamministrativo.;La riserva è elemento essenziale del provvedimento amministrativo.
0081;La questione degli elementi costitutivi del provvedimento amministrativo, ha assunto un'importanza particolare a seguito del disposto di cui all'art. 21-septies della L. n.241/1990, che prevede la nullità del provvedimento finale in mancanza degli elementi essenziali. Quale tra i seguenti è un elemento essenziale?;Destinatario.;Termine.;Condizione.
0082;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, quale tra quelli indicati costituisce elemento essenziale per lo stesso?;Destinatario.;Onere.;Riserva.
0083;Con riferimento agli elementi dell'atto amministrativo chi è ilsoggetto pubblico o privato, nei cui confronti un atto deve produrre i suoi effetti?;Destinatario.;Agente o soggetto.;Oggetto.
0084;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, il destinatario costituisce:;Elemento necessario giuridicamente per dar vitaall'atto.;Componente accidentale che amplia o restringe il contenutodell'atto.;Requisito di efficacia necessario perché l'atto spieghi i suoi effetti.
0085;"Con riferimento agli elementi costitutivi del provvedimento amministrativo secondo la ""teoria negoziale"" (agente, destinatario, volontà, oggetto e forma), il destinatario:";È il soggetto pubblico o privato, nei cui confronti un atto deve produrre i suoi effetti.;Deve possedere necessariamente il requisito della determinatezza in quanto non è sufficiente la determinabilità.;È un comportamento, un fatto o un bene sul quale si indirizza la volontà dell'amministrazione.
0086;"Con riferimento agli elementi costitutivi del provvedimento amministrativo secondo la ""teoria negoziale"" (agente, destinatario, volontà, oggetto e forma), il destinatario:";Può essere sia un soggetto pubblico che un soggetto privato.;Deve possedere necessariamente il requisito della determinatezza in quanto non è sufficiente la determinabilità.;È l'interesse pubblico perseguito dall'amministrazione.
0087;Il destinatario del provvedimento amministrativo:;Può essere sia un soggetto pubblico che un soggetto privato.;È l'aspetto funzionale dell'atto, ovvero lo scopo che persegue.;È costituito dalla porzione di realtà giuridica e materiale su cui l'atto èdestinato ad incidere.
0088;"Con riferimento agli elementi costitutivi del provvedimento amministrativo secondo la ""teoria negoziale"" (agente, destinatario, volontà, oggetto e forma), il destinatario:";Deve possedere quale requisito la determinatezza o la determinabilità.;Può anche non possedere il requisito della determinatezza o della determinabilità, ma deve possedere quello della liceità.;Deve necessariamente essere un soggetto pubblico.
0089;Il destinatario del provvedimento amministrativo:;Deve possedere quale requisito la determinatezza o la determinabilità.;È un elemento accidentale che indica il momento dal quale deve avere inizio l'efficacia delprovvedimento.;È l'aspetto funzionale dell'atto, ovvero lo scopo che persegue.
0090;Il destinatario del provvedimento amministrativo, è il soggetto pubblico o privato, nei cui confronti un atto deve produrre i suoieffetti. I requisiti del destinatario sono:;Determinatezza o determinabilità.;Determinatezza, possibilità e liceità.;Determinatezza e possibilità.
0091;Il destinatario dell'atto amministrativo è il soggetto pubblico o privato, nei cui confronti un atto deve produrre i suoi effetti. Esso deve possedere quale requisito la determinatezza o ladeterminabilità?;Si.;No, né l'uno né l'altro.;No, ma deve possedere quello della liceità.
0092;Il destinatario dell'atto amministrativo è il soggetto pubblico o privato, nei cui confronti un atto deve produrre i suoi effetti. Essodeve possedere quale requisito la determinatezza?;Si, deve possedere quale requisito la determinatezza o ladeterminabilità.;No, purché sia lecito.;Si, non è sufficiente la determinabilità.
0093;Il destinatario dell'atto amministrativo è il soggetto pubblico o privato, nei cui confronti un atto deve produrre i suoi effetti. Essodeve possedere quale requisito la determinabilità?;Si, deve possedere quale requisito la determinatezza o ladeterminabilità.;No, purché sia lecito.;No, deve essere necessariamente determinato.
0094;La questione degli elementi costitutivi del provvedimento amministrativo, ha assunto un'importanza particolare a seguito del disposto di cui all'art. 21-septies della L. n.241/1990, che prevede la nullità del provvedimento finale in mancanza degli elementi essenziali. Quale tra i seguenti è un elemento essenziale?;Oggetto.;Condizione.;Termine.
0095;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, quale tra quelli indicati costituisce elemento essenziale per lo stesso?;Oggetto.;Onere.;Condizione.
0096;Con riferimento agli elementi dell'atto amministrativo il comportamento, il fatto o il bene sul quale si indirizza la volontàdell'amministrazione corrisponde:;All'oggetto.;Al destinatario.;All'agente.
0097;Quale delle seguenti affermazioni sul provvedimento amministrativo è corretta?;L'oggetto è elemento essenziale del provvedimentoamministrativo.;Il termine è elemento essenziale del provvedimentoamministrativo.;La riserva è elemento essenziale del provvedimento amministrativo.
0098;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, l'oggetto costituisce:;Elemento necessario giuridicamente per dar vitaall'atto.;Componente accidentale che amplia o restringe il contenutodell'atto.;Requisito di efficacia necessario perché l'atto spieghi i suoi effetti.
0099;L'oggetto del provvedimento amministrativo può essere costituito da un fatto?;Si, l'oggetto è un comportamento, un fatto o un bene sul quale si indirizza la volontàdell'amministrazione.;No, l'oggetto è un comportamento o un bene sul quale si indirizza la volontàdell'amministrazione.;Si, l'oggetto è un comportamento o un fatto sul quale si indirizza la volontà dell'amministrazione.
