id;domanda;risposta_corretta;risposta_errata_1;risposta_errata_2
0011;In tema di sanatoria delle nullità a norma dell'art. 184 c.p.p., la nullità di una citazione o di un avviso è sanata se la parte interessata compare?;Sì, se la parte è comparsa o ha rinunciato a comparire, salvo il diritto a un termine per la difesa non inferiore a cinque giorni se richiesto.;No, la nullità della citazione è un vizio insanabile che travolge tutti gli atti successivi anche in caso di costituzione in giudizio.;Sì, ma la sanatoria opera esclusivamente a condizione che il difensore non formuli espressa riserva a verbale entro tre giorni.
0012;Come si computano i termini processuali a ore nel processo penale ex art. 172 c.p.p.?;Si calcolano di ora in ora e non si tiene conto dell'ora nella quale è iniziata la decorrenza.;Iniziano a decorrere dalla prima ora del giorno lavorativo immediatamente successivo alla notifica.;Includono sempre l'ora iniziale e si estendono di ventiquattro ore se il termine scade in giorno festivo.
0013;In tema di riesame delle misure cautelari personali (art. 309 c.p.p.), cosa accade se la decisione del Tribunale della Libertà non interviene entro dieci giorni dalla ricezione degli atti?;L'ordinanza che ha disposto la misura cautelare perde efficacia e non può essere rinnovata salve eccezionali esigenze probatorie.;Il procedimento viene sospeso d'ufficio e gli atti vengono rimessi alla Corte d'Appello per la decisione nei successivi venti giorni.;L'imputato ha diritto unicamente al risarcimento del danno per ingiusta detenzione senza perdita di efficacia della misura.
0014;Qual è il presupposto normativo specifico per l'applicazione della misura del sequestro preventivo ex art. 321, comma 1, c.p.p.?;Il pericolo che la libera disponibilità di una cosa pertinente al reato possa aggravare o protrarre le conseguenze di esso ovvero agevolare la commissione di altri reati.;La presenza di un credito liquido ed esigibile vantato dallo Stato per il pagamento delle spese di giustizia ed ammende. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;La necessità indifferibile di procedere all'incidente probatorio per l'esperimento di una perizia balistica inderogabile.
0015;Qual è la disciplina della riapertura delle indagini dopo il decreto di archiviazione (art. 414 c.p.p.)?;È ammessa solo sulla base dell'esigenza di nuove investigazioni ed è autorizzata dal GIP con decreto motivato su richiesta del PM.;È disposta in via autonoma dal Procuratore della Repubblica senza alcuna necessità di autorizzazione giurisdizionale.;È sempre preclusa dal principio del ne bis in idem anche di fronte all'emersione di nuovi elementi di prova.
0016;Ai sensi dell'art. 415-bis c.p.p., cosa può chiedere l'indagato entro il termine di venti giorni dalla notifica dell'avviso di conclusione delle indagini preliminari?;Di presentare memorie, produrre documenti, depositare documentazione relativa ad investigazioni difensive, chiedere al PM il compimento di atti di indagine o di essere sottoposto ad interrogatorio.;La declaratoria immediata di prescrizione del reato da parte del Giudice di Pace della circoscrizione. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;La citazione diretta a giudizio dinanzi al Tribunale collegiale in deroga alle competenze ordinarie.
0017;In sede di udienza preliminare, se il giudice ritiene le indagini incomplete, quali poteri gli attribuisce l'art. 421-bis c.p.p.?;Indica le ulteriori indagini fissando il termine per il loro compimento e la data della nuova udienza preliminare.;Pronuncia immediatamente sentenza di non luogo a procedere per impossibilità di sostenere l'accusa in giudizio.;Annulla l'imputazione e restituisce gli atti al Procuratore Generale presso la Corte di Cassazione.
0018;Ai sensi dell'art. 493 c.p.c./c.p.p., in quale momento dibattimentale le parti formulano le richieste di prova?;Subito dopo la dichiarazione di apertura del dibattimento nell'esposizione introduttiva delle parti.;Prima dell'accertamento della regolare costituzione delle parti e delle eventuali questioni preliminari ex art. 491 c.p.p.;Al termine dell'istruzione dibattimentale, prima del complesso delle discussioni finali delle parti private.
0019;Qual è il regime di utilizzabilità delle dichiarazioni rese nel corso delle indagini preliminari dal teste che in dibattimento si rifiuta di rispondere o si rende irreperibile?;Sono lette ed utilizzate per la decisione solo se l'impossibilità di ripetizione deriva da fatti o circostanze imprevedibili ovvero da condotta illecita sul teste.;Possono sempre essere lette ed inserite nel fascicolo per il dibattimento su semplice richiesta del Pubblico Ministero.;Sussiste l'inutilizzabilità patologica assoluta e non sono mai acquisibili neppure con il consenso espresso delle parti.
0020;Nel giudizio abbreviato (art. 438 c.p.p.), in caso di richiesta di giudizio abbreviato condizionato all'integrazione probatoria, qual è il potere del giudice?;Dispone il giudizio abbreviato se l'integrazione probatoria risulta necessaria ai fini della decisione e compatibile con le finalità di economia processuale del rito.;È obbligato ad accogliere la richiesta in ogni caso senza svolgere alcun vaglio di ammissibilità o di pertinenza della prova. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Rigetta la richiesta e dispone la conversione d'ufficio del procedimento nel giudizio immediato chiesto dall'imputato.
0021;Nel procedimento per applicazione della pena su richiesta delle parti (patteggiamento ex art. 444 c.p.p.), qual è il limite massimo di pena detentiva patteggiabile (al netto della riduzione fino a un terzo)?;Cinque anni di reclusione o arresto, soli o congiunti a pena pecuniaria.;Tre anni di reclusione per tutti i reati societari e fallimentari previsti dal codice civile.;Sette anni di reclusione esclusi i reati contro la Pubblica Amministrazione.
0022;Cos'è il principio del divieto della reformatio in peius sancito dall'art. 597, comma 3, c.p.p. in appello?;Quando impugna il solo imputato, il giudice di secondo grado non può irrogare una pena più grave per specie o quantità, né applicare misure di sicurezza più severe.;Il giudice d'appello non può mai modificare la qualificazione giuridica del fatto contenuta nella sentenza di primo grado. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;La Corte d'Appello ha il divieto assoluto di prosciogliere l'imputato con formule ampie se il PM non ha proposto appello incidentale.
0023;Quali sono i motivi di ricorso per Cassazione tassativamente previsti dall'articolo 606, comma 1, c.p.p.?;Mancanza di giurisdizione o competenza, violazione o falsa applicazione di legge, inosservanza di norme processuali stabilite a pena di nullità/inutilizzabilità/inammissibilità, mancata assunzione di prova decisiva e vizio di motivazione.;Riesame dell'attendibilità intrinseca ed estrinseca delle testimonianze rese nel corso dell'istruttoria dibattimentale.;Valutazione del merito del giudizio e rideterminazione equitativa del quantitativo della pena edittale applicata.
0024;La revisione della sentenza di condanna (art. 629 c.p.p.) è un mezzo di impugnazione:;Straordinario, esperibile in ogni tempo a favore dei condannati nei casi tassativamente indicati dalla legge anche dopo l'estinzione della pena.;Ordinario, sottoposto al termine rigido di decadenza di trenta giorni dalla notifica del dispositivo emesso in grado d'appello. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Residuale, riservato esclusivamente ai procedimenti definiti con decreto penale di condanna divenuto esecutivo.
0025;In tema di procedura penale, con specifico riguardo a il fermo di indiziato di delitto ex art. 384 c.p.p. e i relativi presupposti di applicabilità, quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;può essere disposto dal PM o dalla PG prima che il PM abbia assunto la direzione delle indagini, ove sussista concreto pericolo di fuga per un delitto per cui la legge stabilisce la pena dell'ergastolo o della reclusione non inferiore nel minimo a due anni.;Sussiste solo nei giudizi davanti alla Corte Costituzionale.;Comporta la nullità insanabile ed assoluta dell'intero procedimento.
0026;In tema di procedura penale, con specifico riguardo a l'intercettazione di conversazioni o comunicazioni tra presenti (cd. intercettazione ambientale) ex art. 266 c.p.p., quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;è consentita nei luoghi di privata dimora solo se vi è fondato motivo di ritenere che ivi si stia svolgendo l'attività criminosa, salvo che si tratti di delitti di criminalità organizzata o terrorismo.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.
0027;In tema di procedura penale, con specifico riguardo a l'incidente probatorio (art. 392 c.p.p.) e le sue tassative fattispecie ammissive, quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;rappresenta una parentesi dibattimentale anticipata nella fase delle indagini, volta ad assumere prove indifferibili in presenza di un concreto ed attuale pericolo di deterioramento o non ripetibilità.;è un'udienza filtro dinanzi al Giudice di Pace per decidere la sospensione del procedimento con messa alla prova degli adulti.;è il rimedio impugnatorio straordinario da proporre in Corte d'Appello avverso l'ordinanza applicativa di una misura cautelare reale.
0028;In tema di procedura penale, con specifico riguardo a la perquisizione locale e personale ex art. 247 c.p.p., quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;è disposta con decreto motivato dell'autorità giudiziaria quando vi è fondato motivo di ritenere che il corpo del reato o cose pertinenti si trovino in un determinato luogo o sulla persona.;Non è mai ammesso dalla legge in nessun stato o grado del processo. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Non è mai ammesso dalla legge in nessun stato o grado del processo.
0029;In tema di procedura penale, con specifico riguardo a il sequestro probatorio di beni o documenti (art. 253 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;è il mezzo di ricerca della prova avente ad oggetto il corpo del reato e le cose pertinenti al reato necessarie per l'accertamento dei fatti.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.
0030;In tema di procedura penale, con specifico riguardo a la rogatoria internazionale passiva ex art. 724 c.p.p., quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;è la procedura mediante la quale si dà esecuzione in Italia alle richieste di assistenza giudiziaria trasmesse da autorità giudiziarie straniere.;è il provvedimento con cui la Corte di Cassazione dispone il trasferimento del processo penale presso un tribunale estero. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;costituisce la notifica dell'estratto penale eseguita per via diplomatica dinanzi alle ambasciate estere.
0031;In tema di procedura penale, con specifico riguardo a il mandato di arresto europeo (mae) di tipo esecutivo, quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;è emesso dall'autorità giudiziaria di uno Stato membro per ottenere la consegna di una persona che si trova in un altro Stato membro ai fini dell'esecuzione di una pena o misura di sicurezza.;È una facoltà esercitabile unicamente dal Procuratore Generale.;Genera l'estinzione immediata del reato per sopravvenuta improcedibilità.
0032;In tema di procedura penale, con specifico riguardo a l'interrogatorio di garanzia della persona sottoposta a custodia cautelare (art. 294 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;deve svolgersi entro cinque giorni dall'inizio dell'esecuzione della custodia in carcere, a pena di perdita di efficacia della misura cautelare.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.
0033;In tema di procedura penale, con specifico riguardo a la rinnovazione dell'istruzione dibattimentale in appello (art. 603 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;è disposta dal giudice d'appello quando ritiene di non poter decidere allo stato degli atti o in caso di ammissione di nuove prove scoperte o sopravvenute dopo il giudizio di primo grado.;è obbligatoria in tutti i procedimenti in cui l'imputato sia stato prosciolto in primo grado con formula dubitativa ex art. 530 comma 2 c.p.p.;rappresenta una nullità insanabile se richiesta dalla parte civile non costituitasi formalmente in primo grado.
0034;In tema di procedura penale, con specifico riguardo a il ricorso straordinario per errore di fatto o di calcolo in cassazione (art. 625-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;è proponibile dal Procuratore Generale o dal condannato per correggere gli errori materiali o di fatto contenuti nelle decisioni della Corte di Cassazione.;Termine perentorio di tre giorni a pena di inammissibilità decadenziale. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Genera l'estinzione immediata del reato per sopravvenuta improcedibilità.
0035;In tema di procedura penale, con specifico riguardo a la sospensione del procedimento con messa alla prova (art. 464-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;comporta la prestazione di condotte volte all'eliminazione delle conseguenze dannose o pericolose e lo svolgimento di lavoro di pubblica utilità per reati di minore gravità.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.
0036;In tema di procedura penale, con specifico riguardo a l'estinzione delle misure cautelari per decorso dei termini massimi (art. 303 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;opera ipso jure per ciascuna fase del procedimento quando siano superati i limiti temporali stabiliti dalla legge senza che sia intervenuto il provvedimento di fase.;richiede la previa approvazione con decreto non impugnabile emesso dal Ministero della Giustizia entro quaranta giorni. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;è sospesa a tempo indeterminato in tutti i casi in cui l'imputato si sia avvalso della facoltà di non rispondere in sede di interrogatorio.
0037;In tema di procedura penale, con specifico riguardo a l'estensione dell'impugnazione (art. 587 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;consente ai coimputati nel medesimo reato di giovarsi dell'impugnazione proposta da uno di essi, purché i motivi non siano esclusivamente personali.;Non è mai ammesso dalla legge in nessun stato o grado del processo.;È un atto di esclusiva competenza del Prefetto della provincia.
0038;In tema di procedura penale, con specifico riguardo a la dichiarazione di contumacia e la nuova disciplina dell'assenza (art. 420-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;si procede in assenza dell'imputato solo quando vi sia la certezza della conoscenza della vocatio in ius o dell'inizio del processo.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.
0039;In tema di procedura penale, con specifico riguardo a la riparazione per l'ingiusta detenzione (art. 314 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;spetta a chi è stato prosciolto con sentenza irrevocabile perché il fatto non sussiste o non costituisce reato, salvo che vi abbia dato causa con dolo o colpa grave.;è una forma di risarcimento che spetta unicamente ai soggetti sottoposti a fermo di indiziato di delitto non convalidato per difetto di giurisdizione.;può essere richiesta entro il termine breve di dieci giorni dalla lettura del dispositivo dibattimentale.
0040;In tema di procedura penale, con specifico riguardo a la chiusura delle indagini preliminari e l'archiviazione per particolare tenuità del fatto (art. 411, comma 1-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;è notificata all'indagato e alla persona offesa, le quali possono proporre opposizione entro venti giorni chiedendo l'indicazione delle prosecuzione delle indagini.;Termine perentorio di tre giorni a pena di inammissibilità decadenziale. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Genera l'estinzione immediata del reato per sopravvenuta improcedibilità.
0041;In tema di procedura penale, con specifico riguardo a il giudizio immediato richiesto dall'imputato (art. 419, comma 5, c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;rappresenta una rinuncia formale all'udienza preliminare notificata almeno tre giorni prima della data dell'udienza stessa.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.
0042;In tema di procedura penale, con specifico riguardo a l'incidente probatorio per la testimonianza del minore o della persona offesa vulnerabile (art. 392, comma 1-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;può essere richiesto dal PM o dalla persona sottoposta alle indagini anche al di fuori dei casi di inderogabilità e urgenza per tutelare la personalità della vittima.;si svolge a porte aperte nell'aula di udienza dibattimentale ordinaria con l'esame diretto da parte dei giornalisti e del pubblico. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;impedisce in modo assoluto l'utilizzabilità del verbale nell'istruttoria dibattimentale qualora la difesa abbia nominato un nuovo consulente.
0043;In tema di procedura penale, con specifico riguardo a le perquisizioni e i sequestri eseguiti dalla pg di propria iniziativa ex art. 352 e 354 c.p.p., quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;devono essere trasmessi entro quarantotto ore al PM del luogo ove sono stati eseguiti, il quale nelle quarantotto ore successive decide sulla convalida.;Sussiste solo nei giudizi davanti alla Corte Costituzionale.;Genera l'estinzione immediata del reato per sopravvenuta improcedibilità.
0044;In tema di procedura penale, con specifico riguardo a la ricusa e la dichiarazione di astensione del giudice (artt. 36 e 37 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale?;"l'astensione è valutata dal Presidente del Tribunale o della Corte; la ricusazione è decisa dalla Corte d'Appello o dalla Cassazione.";Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.
0045;Relativamente alla disciplina di il fermo di indiziato di delitto ex art. 384 c.p.p. e i relativi presupposti di applicabilità, si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale:;può essere disposto dal PM o dalla PG prima che il PM abbia assunto la direzione delle indagini, ove sussista concreto pericolo di fuga per un delitto per cui la legge stabilisce la pena dell'ergastolo o della reclusione non inferiore nel minimo a due anni.;è un atto di esclusiva competenza dell'Ufficiale di Polizia Giudiziaria che non necessita di successiva convalida da parte del Giudice per le Indagini Preliminari.;può essere eseguito soltanto nei confronti di soggetti colti nella fragranza di un delitto perseguibile d'ufficio con pena edittale massima inferiore a tre anni.
0046;Relativamente alla disciplina di l'intercettazione di conversazioni o comunicazioni tra presenti (cd. intercettazione ambientale) ex art. 266 c.p.p., si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale:;è consentita nei luoghi di privata dimora solo se vi è fondato motivo di ritenere che ivi si stia svolgendo l'attività criminosa, salvo che si tratti di delitti di criminalità organizzata o terrorismo.;Comporta la nullità insanabile ed assoluta dell'intero procedimento. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Richiede il parere preventivo del Consiglio Superiore della Magistratura.
0047;Relativamente alla disciplina di l'incidente probatorio (art. 392 c.p.p.) e le sue tassative fattispecie ammissive, si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale:;rappresenta una parentesi dibattimentale anticipata nella fase delle indagini, volta ad assumere prove indifferibili in presenza di un concreto ed attuale pericolo di deterioramento o non ripetibilità.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.
0048;Relativamente alla disciplina di la perquisizione locale e personale ex art. 247 c.p.p., si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale:;è disposta con decreto motivato dell'autorità giudiziaria quando vi è fondato motivo di ritenere che il corpo del reato o cose pertinenti si trovino in un determinato luogo o sulla persona.;può essere eseguita dai funzionari di Cancelleria senza presenza del difensore o dell'interessato anche nei casi non di urgenza. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;costituisce un mezzo di prova vincolante che impedisce il successivo sequestro probatorio degli oggetti rinvenuti.
0049;Relativamente alla disciplina di il sequestro probatorio di beni o documenti (art. 253 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale:;è il mezzo di ricerca della prova avente ad oggetto il corpo del reato e le cose pertinenti al reato necessarie per l'accertamento dei fatti.;Comporta la nullità insanabile ed assoluta dell'intero procedimento.;Comporta la nullità insanabile ed assoluta dell'intero procedimento.
0050;Relativamente alla disciplina di la rogatoria internazionale passiva ex art. 724 c.p.p., si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale:;è la procedura mediante la quale si dà esecuzione in Italia alle richieste di assistenza giudiziaria trasmesse da autorità giudiziarie straniere.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.
0051;Relativamente alla disciplina di il mandato di arresto europeo (mae) di tipo esecutivo, si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale:;è emesso dall'autorità giudiziaria di uno Stato membro per ottenere la consegna di una persona che si trova in un altro Stato membro ai fini dell'esecuzione di una pena o misura di sicurezza.;è un ordine amministrativo del Ministero dell'Interno che prescinde dalla presenza di un titolo giurisdizionale esecutivo.;è una sanzione disciplinare irrogata dalla Corte di Giustizia dell'Unione Europea verso gli Stati inadempienti.
0052;Relativamente alla disciplina di l'interrogatorio di garanzia della persona sottoposta a custodia cautelare (art. 294 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale:;deve svolgersi entro cinque giorni dall'inizio dell'esecuzione della custodia in carcere, a pena di perdita di efficacia della misura cautelare.;Comporta la nullità insanabile ed assoluta dell'intero procedimento. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Genera l'estinzione immediata del reato per sopravvenuta improcedibilità.
0053;Relativamente alla disciplina di la rinnovazione dell'istruzione dibattimentale in appello (art. 603 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale:;è disposta dal giudice d'appello quando ritiene di non poter decidere allo stato degli atti o in caso di ammissione di nuove prove scoperte o sopravvenute dopo il giudizio di primo grado.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.
